  [Epoch 182] Loss: 21.87103, Time: 44.88 s, Psuedo-Acc: 24.97%
  [Epoch 183] Loss: 21.87328, Time: 45.13 s, Psuedo-Acc: 23.89%
  [Epoch 184] Loss: 21.87476, Time: 45.37 s, Psuedo-Acc: 24.34%
  [Epoch 185] Loss: 21.86297, Time: 45.61 s, Psuedo-Acc: 25.24%
  [Epoch 186] Loss: 21.85932, Time: 45.86 s, Psuedo-Acc: 23.85%
  [Epoch 187] Loss: 21.84913, Time: 46.10 s, Psuedo-Acc: 25.00%
  [Epoch 188] Loss: 21.86164, Time: 46.34 s, Psuedo-Acc: 25.03%
  [Epoch 189] Loss: 21.84993, Time: 46.59 s, Psuedo-Acc: 24.97%
  [Epoch 190] Loss: 21.86047, Time: 46.83 s, Psuedo-Acc: 24.93%
  [Epoch 191] Loss: 21.82404, Time: 47.07 s, Psuedo-Acc: 24.83%
  [Epoch 192] Loss: 21.86467, Time: 47.32 s, Psuedo-Acc: 25.49%
  [Epoch 193] Loss: 21.84880, Time: 47.56 s, Psuedo-Acc: 25.31%
  [Epoch 194] Loss: 21.85225, Time: 47.80 s, Psuedo-Acc: 24.44%
  [Epoch 195] Loss: 21.83687, Time: 48.04 s, Psuedo-Acc: 25.73%
  [Epoch 196] Loss: 21.84631, Time: 48.29 s, Psuedo-Acc: 25.90%
  [Epoch 197] Loss: 21.83125, Time: 48.54 s, Psuedo-Acc: 25.90%
  [Epoch 198] Loss: 21.82529, Time: 48.78 s, Psuedo-Acc: 25.80%
  [Epoch 199] Loss: 21.82998, Time: 49.02 s, Psuedo-Acc: 26.18%
  [Epoch 200] Loss: 21.82011, Time: 49.27 s, Psuedo-Acc: 24.83%
  [Epoch 201] Loss: 21.81937, Time: 49.51 s, Psuedo-Acc: 25.35%
  [Epoch 202] Loss: 21.83686, Time: 49.75 s, Psuedo-Acc: 25.28%
  [Epoch 203] Loss: 21.83768, Time: 50.00 s, Psuedo-Acc: 25.56%
  [Epoch 204] Loss: 21.83171, Time: 50.24 s, Psuedo-Acc: 25.66%
  [Epoch 205] Loss: 21.80677, Time: 50.48 s, Psuedo-Acc: 25.62%
  [Epoch 206] Loss: 21.81784, Time: 50.72 s, Psuedo-Acc: 25.28%
  [Epoch 207] Loss: 21.83186, Time: 50.97 s, Psuedo-Acc: 25.56%
  [Epoch 208] Loss: 21.80332, Time: 51.21 s, Psuedo-Acc: 25.17%
  [Epoch 209] Loss: 21.81877, Time: 51.45 s, Psuedo-Acc: 24.65%
  [Epoch 210] Loss: 21.79692, Time: 51.70 s, Psuedo-Acc: 25.90%
  [Epoch 211] Loss: 21.81728, Time: 51.94 s, Psuedo-Acc: 26.46%
  [Epoch 212] Loss: 21.82682, Time: 52.18 s, Psuedo-Acc: 26.25%
  [Epoch 213] Loss: 21.80339, Time: 52.43 s, Psuedo-Acc: 26.70%
  [Epoch 214] Loss: 21.81105, Time: 52.67 s, Psuedo-Acc: 25.83%
  [Epoch 215] Loss: 21.81035, Time: 52.91 s, Psuedo-Acc: 24.65%
  [Epoch 216] Loss: 21.78783, Time: 53.16 s, Psuedo-Acc: 25.10%
  [Epoch 217] Loss: 21.79526, Time: 53.40 s, Psuedo-Acc: 26.28%
  [Epoch 218] Loss: 21.79130, Time: 53.64 s, Psuedo-Acc: 26.60%
  [Epoch 219] Loss: 21.78285, Time: 53.89 s, Psuedo-Acc: 25.62%
  [Epoch 220] Loss: 21.82858, Time: 54.13 s, Psuedo-Acc: 25.76%
  [Epoch 221] Loss: 21.78499, Time: 54.38 s, Psuedo-Acc: 25.97%
  [Epoch 222] Loss: 21.80810, Time: 54.62 s, Psuedo-Acc: 26.04%
  [Epoch 223] Loss: 21.79784, Time: 54.86 s, Psuedo-Acc: 25.83%
  [Epoch 224] Loss: 21.77254, Time: 55.11 s, Psuedo-Acc: 26.94%
  [Epoch 225] Loss: 21.78522, Time: 55.35 s, Psuedo-Acc: 27.12%
  [Epoch 226] Loss: 21.78769, Time: 55.59 s, Psuedo-Acc: 26.35%
